Date,Open,High,Low,Close,Volume,Symbol,Previous_Close,Daily_Return_Pct,MA_7,MA_30,Volatility_Pct,Price_Range
2024-01-02,724.27,736.25,719.93,734.76,11129900,BAJFINANCE.NS,721.81,1.79,728.29,728.29,2.27,16.32
2024-01-03,736.23,740.28,728.64,730.29,5534050,BAJFINANCE.NS,734.76,-0.61,728.95,728.95,1.6,11.64
2024-01-04,747.61,764.81,747.61,762.0,29118790,BAJFINANCE.NS,730.29,4.34,737.21,737.21,2.3,17.2
2024-01-05,764.91,770.26,758.8,762.56,10526010,BAJFINANCE.NS,762.0,0.07,742.28,742.28,1.51,11.46
2024-01-08,759.18,774.31,754.66,765.02,11212090,BAJFINANCE.NS,762.56,0.32,746.07,746.07,2.6,19.65
2024-01-09,768.77,772.33,761.26,763.97,12470830,BAJFINANCE.NS,765.02,-0.14,748.63,748.63,1.45,11.07
2024-01-10,763.04,764.94,757.5,759.53,5590720,BAJFINANCE.NS,763.97,-0.58,754.02,749.99,0.98,7.44
2024-01-11,759.48,770.68,756.61,758.46,6517410,BAJFINANCE.NS,759.53,-0.14,757.4,750.93,1.86,14.07
2024-01-12,759.87,763.33,753.25,757.6,8086380,BAJFINANCE.NS,758.46,-0.11,761.31,751.6,1.34,10.08
2024-01-15,761.25,761.25,737.13,739.5,9972200,BAJFINANCE.NS,757.6,-2.39,758.09,750.5,3.27,24.12
2024-01-16,739.2,753.0,734.55,737.39,11947230,BAJFINANCE.NS,739.5,-0.29,754.5,749.41,2.51,18.45
2024-01-17,722.23,739.52,722.12,727.72,13802710,BAJFINANCE.NS,737.39,-1.31,749.17,747.74,2.41,17.4
2024-01-18,721.5,727.02,715.37,718.49,16869960,BAJFINANCE.NS,727.72,-1.27,742.67,745.65,1.63,11.65
2024-01-19,727.83,730.68,718.07,723.79,8308100,BAJFINANCE.NS,718.49,0.74,737.56,744.19,1.76,12.61
2024-01-23,727.13,727.34,696.44,699.22,25332970,BAJFINANCE.NS,723.79,-3.39,729.1,741.38,4.44,30.9
2024-01-24,702.52,702.52,691.92,697.7,20636750,BAJFINANCE.NS,699.22,-0.22,720.54,738.81,1.53,10.6
2024-01-25,697.7,704.67,695.79,700.69,11683490,BAJFINANCE.NS,697.7,0.43,715.0,736.69,1.28,8.88
2024-01-29,700.69,714.48,700.65,711.18,18603610,BAJFINANCE.NS,700.69,1.5,711.26,735.35,1.97,13.83
2024-01-30,691.09,691.09,672.95,674.15,41531470,BAJFINANCE.NS,711.18,-5.21,703.6,732.29,2.7,18.14
2024-01-31,674.43,684.42,673.64,678.67,18105120,BAJFINANCE.NS,674.15,0.67,697.91,729.74,1.6,10.78
2024-02-01,678.97,680.36,665.83,666.85,19111370,BAJFINANCE.NS,678.67,-1.74,689.78,726.88,2.18,14.53
2024-02-02,668.0,683.33,667.81,677.23,13675080,BAJFINANCE.NS,666.85,1.56,686.64,724.72,2.32,15.52
2024-02-05,681.75,681.85,652.68,653.49,17712220,BAJFINANCE.NS,677.23,-3.51,680.32,721.75,4.47,29.17
2024-02-06,657.42,662.47,646.25,652.49,24395330,BAJFINANCE.NS,653.49,-0.15,673.44,718.98,2.51,16.22
2024-02-07,656.73,666.28,655.17,663.47,15382370,BAJFINANCE.NS,652.49,1.68,666.62,716.85,1.7,11.11
2024-02-08,665.71,666.27,646.42,650.27,21932090,BAJFINANCE.NS,663.47,-1.99,663.21,714.38,3.07,19.85
2024-02-09,650.7,660.36,649.91,658.07,12098740,BAJFINANCE.NS,650.27,1.2,660.27,712.37,1.61,10.45
2024-02-12,659.54,659.78,647.88,649.63,5447840,BAJFINANCE.NS,658.07,-1.28,657.81,710.21,1.84,11.9
2024-02-13,652.68,656.53,648.04,653.04,9480140,BAJFINANCE.NS,649.63,0.52,654.35,708.3,1.31,8.49
2024-02-14,649.1,658.21,647.73,657.27,6361260,BAJFINANCE.NS,653.04,0.65,654.89,706.15,1.62,10.48
