Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,725.55,725.55,719.23,721.81,3314890,BAJFINANCE.NS
2024-01-02,724.27,736.25,719.93,734.76,11129900,BAJFINANCE.NS
2024-01-03,736.23,740.28,728.64,730.29,5534050,BAJFINANCE.NS
2024-01-04,747.61,764.81,747.61,762.0,29118790,BAJFINANCE.NS
2024-01-05,764.91,770.26,758.8,762.56,10526010,BAJFINANCE.NS
2024-01-08,759.18,774.31,754.66,765.02,11212090,BAJFINANCE.NS
2024-01-09,768.77,772.33,761.26,763.97,12470830,BAJFINANCE.NS
2024-01-10,763.04,764.94,757.5,759.53,5590720,BAJFINANCE.NS
2024-01-11,759.48,770.68,756.61,758.46,6517410,BAJFINANCE.NS
2024-01-12,759.87,763.33,753.25,757.6,8086380,BAJFINANCE.NS
2024-01-15,761.25,761.25,737.13,739.5,9972200,BAJFINANCE.NS
2024-01-16,739.2,753.0,734.55,737.39,11947230,BAJFINANCE.NS
2024-01-17,722.23,739.52,722.12,727.72,13802710,BAJFINANCE.NS
2024-01-18,721.5,727.02,715.37,718.49,16869960,BAJFINANCE.NS
2024-01-19,727.83,730.68,718.07,723.79,8308100,BAJFINANCE.NS
2024-01-23,727.13,727.34,696.44,699.22,25332970,BAJFINANCE.NS
2024-01-24,702.52,702.52,691.92,697.7,20636750,BAJFINANCE.NS
2024-01-25,697.7,704.67,695.79,700.69,11683490,BAJFINANCE.NS
2024-01-29,700.69,714.48,700.65,711.18,18603610,BAJFINANCE.NS
2024-01-30,691.09,691.09,672.95,674.15,41531470,BAJFINANCE.NS
2024-01-31,674.43,684.42,673.64,678.67,18105120,BAJFINANCE.NS
2024-02-01,678.97,680.36,665.83,666.85,19111370,BAJFINANCE.NS
2024-02-02,668.0,683.33,667.81,677.23,13675080,BAJFINANCE.NS
2024-02-05,681.75,681.85,652.68,653.49,17712220,BAJFINANCE.NS
2024-02-06,657.42,662.47,646.25,652.49,24395330,BAJFINANCE.NS
2024-02-07,656.73,666.28,655.17,663.47,15382370,BAJFINANCE.NS
2024-02-08,665.71,666.27,646.42,650.27,21932090,BAJFINANCE.NS
2024-02-09,650.7,660.36,649.91,658.07,12098740,BAJFINANCE.NS
2024-02-12,659.54,659.78,647.88,649.63,5447840,BAJFINANCE.NS
2024-02-13,652.68,656.53,648.04,653.04,9480140,BAJFINANCE.NS
2024-02-14,649.1,658.21,647.73,657.27,6361260,BAJFINANCE.NS
2024-02-15,657.22,660.33,651.26,654.59,8808590,BAJFINANCE.NS
2024-02-16,657.63,658.61,652.87,654.57,10294310,BAJFINANCE.NS
2024-02-19,657.51,673.14,655.18,663.83,13158810,BAJFINANCE.NS
2024-02-20,663.74,671.66,660.71,668.85,11067090,BAJFINANCE.NS
2024-02-21,671.47,671.47,659.11,661.46,8549440,BAJFINANCE.NS
2024-02-22,661.68,663.24,648.82,660.09,10223740,BAJFINANCE.NS
2024-02-23,659.99,664.44,655.9,662.35,12803110,BAJFINANCE.NS
2024-02-26,661.58,663.36,655.07,656.95,8920560,BAJFINANCE.NS
2024-02-27,655.74,656.83,641.91,648.35,11503060,BAJFINANCE.NS
2024-02-28,649.91,652.35,640.31,642.66,5353210,BAJFINANCE.NS
2024-02-29,642.69,646.64,629.56,642.33,16990980,BAJFINANCE.NS
2024-03-01,643.95,653.54,642.99,649.85,9190800,BAJFINANCE.NS
2024-03-04,651.49,656.63,648.47,652.92,3971180,BAJFINANCE.NS
2024-03-05,652.92,656.26,620.24,625.41,17175580,BAJFINANCE.NS
2024-03-06,626.22,627.55,611.91,624.12,21047920,BAJFINANCE.NS
2024-03-07,627.95,639.68,625.52,634.98,14694210,BAJFINANCE.NS
2024-03-11,647.73,647.93,633.29,636.24,12039710,BAJFINANCE.NS
2024-03-12,633.39,641.3,627.1,636.46,10946770,BAJFINANCE.NS
2024-03-13,636.78,644.27,632.06,638.45,11321830,BAJFINANCE.NS
2024-03-14,638.45,639.82,622.79,632.65,12198650,BAJFINANCE.NS
2024-03-15,630.43,650.5,628.94,644.21,19705000,BAJFINANCE.NS
2024-03-18,644.21,648.23,638.45,643.25,6764250,BAJFINANCE.NS
2024-03-19,643.75,659.32,643.28,652.31,14080870,BAJFINANCE.NS
2024-03-20,653.66,665.63,653.27,657.57,14908310,BAJFINANCE.NS
2024-03-21,663.31,669.65,658.33,664.12,18060920,BAJFINANCE.NS
2024-03-22,663.06,672.75,661.21,668.59,11252380,BAJFINANCE.NS
2024-03-26,667.95,686.79,667.02,683.34,18503210,BAJFINANCE.NS
2024-03-27,686.87,697.08,682.84,694.48,15512750,BAJFINANCE.NS
2024-03-28,695.41,726.77,695.41,716.48,35745180,BAJFINANCE.NS
2024-04-01,718.07,726.2,713.99,717.05,11252380,BAJFINANCE.NS
2024-04-02,717.05,717.45,705.58,712.74,9676150,BAJFINANCE.NS
2024-04-03,711.71,724.21,710.64,722.81,9589430,BAJFINANCE.NS
2024-04-04,726.35,726.84,717.45,720.26,10405890,BAJFINANCE.NS
2024-04-05,715.45,717.84,707.66,709.6,12004940,BAJFINANCE.NS
2024-04-08,713.49,714.68,706.35,709.89,5182100,BAJFINANCE.NS
2024-04-09,713.99,715.51,704.54,711.38,7102810,BAJFINANCE.NS
2024-04-10,715.56,717.35,708.05,715.0,5679860,BAJFINANCE.NS
2024-04-12,714.38,718.34,707.69,714.93,10925880,BAJFINANCE.NS
2024-04-15,706.58,711.89,698.51,699.77,7584480,BAJFINANCE.NS
2024-04-16,693.22,695.62,685.41,687.71,9632930,BAJFINANCE.NS
2024-04-18,685.12,691.74,678.98,681.67,13851330,BAJFINANCE.NS
2024-04-19,676.41,707.07,673.45,704.05,12183750,BAJFINANCE.NS
2024-04-22,708.78,722.49,708.78,721.13,11652720,BAJFINANCE.NS
2024-04-23,722.79,725.84,715.65,717.93,10815670,BAJFINANCE.NS
2024-04-24,720.22,733.71,716.95,724.78,8869290,BAJFINANCE.NS
2024-04-25,724.87,728.31,704.6,721.39,11733540,BAJFINANCE.NS
2024-04-26,692.23,692.23,661.72,665.65,58147230,BAJFINANCE.NS
2024-04-29,671.46,676.37,663.86,675.08,16810300,BAJFINANCE.NS
2024-04-30,675.42,689.76,674.62,684.67,17986750,BAJFINANCE.NS
2024-05-02,686.09,689.26,678.88,680.63,11395720,BAJFINANCE.NS
2024-05-03,724.77,731.79,683.03,685.46,68186010,BAJFINANCE.NS
2024-05-06,693.02,694.2,676.9,678.37,12299880,BAJFINANCE.NS
2024-05-07,681.35,686.61,671.27,679.63,12981260,BAJFINANCE.NS
2024-05-08,679.52,680.32,670.97,672.4,7259250,BAJFINANCE.NS
2024-05-09,672.44,675.69,651.19,653.19,13811150,BAJFINANCE.NS
2024-05-10,656.52,662.37,652.79,661.0,8249080,BAJFINANCE.NS
2024-05-13,660.98,666.95,654.65,664.42,5122560,BAJFINANCE.NS
2024-05-14,663.55,666.7,658.37,660.16,7558400,BAJFINANCE.NS
2024-05-15,661.77,665.72,657.13,660.59,5950590,BAJFINANCE.NS
2024-05-16,662.6,668.71,654.96,667.23,10598510,BAJFINANCE.NS
2024-05-17,667.21,670.48,662.67,665.27,4801580,BAJFINANCE.NS
2024-05-21,663.06,670.97,663.06,666.8,7616240,BAJFINANCE.NS
2024-05-22,670.22,670.22,665.26,666.97,4160460,BAJFINANCE.NS
2024-05-23,668.45,677.74,665.54,675.09,7093170,BAJFINANCE.NS
2024-05-24,674.43,683.33,671.76,676.1,7420430,BAJFINANCE.NS
2024-05-27,678.29,688.23,673.44,681.9,6554710,BAJFINANCE.NS
2024-05-28,683.72,686.79,678.08,679.68,7528670,BAJFINANCE.NS
2024-05-29,680.17,683.13,671.01,673.12,7213310,BAJFINANCE.NS
2024-05-30,670.47,672.35,652.09,654.3,11555750,BAJFINANCE.NS
2024-05-31,659.1,669.68,656.87,662.34,28417330,BAJFINANCE.NS
2024-06-03,687.17,691.11,675.71,683.88,11482120,BAJFINANCE.NS
2024-06-04,683.92,683.92,630.49,643.73,32993870,BAJFINANCE.NS
2024-06-05,653.07,678.59,646.3,676.08,12185170,BAJFINANCE.NS
2024-06-06,677.4,693.51,674.66,684.89,14657160,BAJFINANCE.NS
2024-06-07,691.74,721.8,686.4,711.16,29840520,BAJFINANCE.NS
2024-06-10,716.95,716.95,699.67,701.02,8723180,BAJFINANCE.NS
2024-06-11,700.44,708.94,697.28,705.89,12052130,BAJFINANCE.NS
2024-06-12,706.87,719.62,703.6,713.77,12685080,BAJFINANCE.NS
2024-06-13,717.17,724.37,715.19,721.4,13454950,BAJFINANCE.NS
2024-06-14,721.51,728.82,716.66,726.01,11874880,BAJFINANCE.NS
2024-06-18,728.33,734.7,721.9,725.33,9469040,BAJFINANCE.NS
2024-06-19,725.33,726.74,709.82,715.37,5204000,BAJFINANCE.NS
2024-06-20,713.99,718.43,703.21,712.71,9001580,BAJFINANCE.NS
2024-06-21,719.49,722.04,703.16,709.05,14998180,BAJFINANCE.NS
2024-06-24,703.26,706.34,697.75,703.84,6356540,BAJFINANCE.NS
2024-06-25,705.75,709.62,695.51,703.11,15608110,BAJFINANCE.NS
2024-06-26,702.66,713.52,699.19,711.43,9125520,BAJFINANCE.NS
2024-06-27,710.62,719.46,703.96,712.28,11376060,BAJFINANCE.NS
2024-06-28,712.11,718.17,706.17,707.19,8295840,BAJFINANCE.NS
2024-07-01,703.16,725.92,703.16,723.21,7727450,BAJFINANCE.NS
2024-07-02,723.04,723.13,707.83,712.17,12810270,BAJFINANCE.NS
2024-07-03,714.59,724.0,712.6,721.43,8363930,BAJFINANCE.NS
2024-07-04,725.63,728.01,705.65,706.35,18979770,BAJFINANCE.NS
2024-07-05,709.02,710.61,703.36,709.42,9310790,BAJFINANCE.NS
