Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,830.29,831.82,823.47,826.44,14239686,HDFCBANK.NS
2024-01-02,826.78,828.73,821.87,826.93,29242092,HDFCBANK.NS
2024-01-03,828.34,829.65,812.25,814.18,28389762,HDFCBANK.NS
2024-01-04,816.66,824.91,813.11,822.91,26734056,HDFCBANK.NS
2024-01-05,821.11,829.75,811.84,818.7,31889470,HDFCBANK.NS
2024-01-08,816.9,818.78,807.9,809.58,17998470,HDFCBANK.NS
2024-01-09,811.38,816.56,801.45,803.27,25326888,HDFCBANK.NS
2024-01-10,799.62,807.87,798.85,805.93,16115824,HDFCBANK.NS
2024-01-11,807.9,809.31,799.62,802.54,18314010,HDFCBANK.NS
2024-01-12,804.0,805.95,795.05,798.75,19773552,HDFCBANK.NS
2024-01-15,801.91,818.07,799.92,814.13,28320356,HDFCBANK.NS
2024-01-16,814.23,819.41,806.97,817.22,25322500,HDFCBANK.NS
2024-01-17,764.1,777.14,743.85,748.28,170145236,HDFCBANK.NS
2024-01-18,727.11,737.33,720.32,723.29,161070930,HDFCBANK.NS
2024-01-19,732.92,735.02,714.65,715.74,109600538,HDFCBANK.NS
2024-01-23,712.99,717.72,693.53,694.67,115469402,HDFCBANK.NS
2024-01-24,671.75,709.81,671.75,708.57,86004404,HDFCBANK.NS
2024-01-25,706.91,709.27,690.8,698.35,98941852,HDFCBANK.NS
2024-01-29,704.75,711.92,703.65,707.96,65645498,HDFCBANK.NS
2024-01-30,707.91,712.12,701.27,702.92,41728768,HDFCBANK.NS
2024-01-31,700.58,717.84,699.27,711.8,65761040,HDFCBANK.NS
2024-02-01,713.02,717.18,708.64,713.65,32690740,HDFCBANK.NS
2024-02-02,717.86,720.71,701.83,703.82,44867754,HDFCBANK.NS
2024-02-05,703.75,706.62,697.93,703.19,38605046,HDFCBANK.NS
2024-02-06,703.53,705.55,697.23,702.82,41075740,HDFCBANK.NS
2024-02-07,707.15,707.54,694.33,695.94,54837086,HDFCBANK.NS
2024-02-08,695.89,700.32,681.6,682.84,69106124,HDFCBANK.NS
2024-02-09,677.54,688.27,675.03,683.11,56642124,HDFCBANK.NS
2024-02-12,681.19,688.0,673.26,676.49,34447812,HDFCBANK.NS
2024-02-13,677.44,683.48,673.74,678.66,57580994,HDFCBANK.NS
2024-02-14,669.68,677.22,663.62,673.6,91320810,HDFCBANK.NS
2024-02-15,674.06,688.9,673.74,688.2,41584944,HDFCBANK.NS
2024-02-16,692.99,694.84,685.47,691.05,32175742,HDFCBANK.NS
2024-02-19,695.47,695.47,688.76,689.68,34451756,HDFCBANK.NS
2024-02-20,688.66,709.22,687.1,707.79,56133508,HDFCBANK.NS
2024-02-21,712.51,712.51,698.39,700.41,45893136,HDFCBANK.NS
