Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,2560.54,2565.87,2535.69,2551.79,526353,HINDUNILVR.NS
2024-01-02,2545.3,2551.02,2505.89,2512.43,1310629,HINDUNILVR.NS
2024-01-03,2498.2,2526.65,2494.89,2505.46,1008270,HINDUNILVR.NS
2024-01-04,2505.46,2521.27,2487.68,2492.0,1376844,HINDUNILVR.NS
2024-01-05,2494.36,2527.9,2494.36,2518.44,1150738,HINDUNILVR.NS
2024-01-08,2523.15,2524.15,2466.96,2478.26,1189828,HINDUNILVR.NS
2024-01-09,2482.39,2488.59,2471.82,2479.7,1017205,HINDUNILVR.NS
2024-01-10,2479.94,2493.68,2465.52,2477.44,881278,HINDUNILVR.NS
2024-01-11,2479.94,2488.59,2433.66,2437.84,2399600,HINDUNILVR.NS
2024-01-12,2435.24,2455.91,2414.43,2445.34,2979841,HINDUNILVR.NS
2024-01-15,2447.26,2478.74,2432.84,2473.4,1391204,HINDUNILVR.NS
2024-01-16,2473.4,2484.36,2457.21,2469.46,1599406,HINDUNILVR.NS
2024-01-17,2450.14,2471.62,2441.25,2463.5,3047652,HINDUNILVR.NS
2024-01-18,2470.33,2470.33,2439.14,2449.18,1273095,HINDUNILVR.NS
2024-01-19,2465.52,2474.12,2433.8,2465.9,1323064,HINDUNILVR.NS
2024-01-23,2355.94,2384.3,2273.71,2283.42,4369332,HINDUNILVR.NS
2024-01-24,2295.39,2351.04,2275.34,2346.95,1551469,HINDUNILVR.NS
2024-01-25,2359.59,2372.28,2326.34,2334.12,2364765,HINDUNILVR.NS
2024-01-29,2316.53,2354.02,2316.53,2349.6,1587091,HINDUNILVR.NS
2024-01-30,2358.83,2397.8,2352.39,2363.3,1793711,HINDUNILVR.NS
2024-01-31,2354.98,2389.49,2347.05,2385.31,1445004,HINDUNILVR.NS
2024-02-01,2379.11,2414.14,2372.62,2377.67,1727534,HINDUNILVR.NS
2024-02-02,2380.93,2390.45,2347.29,2357.48,1956115,HINDUNILVR.NS
2024-02-05,2368.44,2369.16,2319.18,2325.66,1315445,HINDUNILVR.NS
2024-02-06,2330.9,2346.67,2324.27,2332.25,1557511,HINDUNILVR.NS
2024-02-07,2345.27,2345.27,2318.02,2331.38,1149076,HINDUNILVR.NS
2024-02-08,2347.1,2347.1,2305.96,2323.31,1758661,HINDUNILVR.NS
2024-02-09,2323.31,2334.27,2312.78,2330.13,886474,HINDUNILVR.NS
2024-02-12,2330.09,2335.61,2289.62,2293.13,1292460,HINDUNILVR.NS
2024-02-13,2297.31,2307.83,2287.79,2301.15,957865,HINDUNILVR.NS
2024-02-14,2292.5,2301.15,2278.08,2295.34,1397975,HINDUNILVR.NS
2024-02-15,2276.5,2292.21,2255.74,2259.68,2553695,HINDUNILVR.NS
2024-02-16,2278.04,2289.62,2266.16,2283.13,2363302,HINDUNILVR.NS
2024-02-19,2296.83,2302.07,2281.74,2294.57,576683,HINDUNILVR.NS
2024-02-20,2278.18,2315.04,2276.35,2310.86,1032995,HINDUNILVR.NS
2024-02-21,2310.86,2328.84,2301.25,2313.74,1127778,HINDUNILVR.NS
2024-02-22,2326.43,2326.43,2274.0,2295.48,2258516,HINDUNILVR.NS
2024-02-23,2295.91,2312.21,2291.49,2301.25,1210775,HINDUNILVR.NS
2024-02-26,2298.37,2313.22,2287.7,2311.01,831596,HINDUNILVR.NS
2024-02-27,2310.81,2315.52,2296.49,2312.01,1120424,HINDUNILVR.NS
2024-02-28,2317.59,2330.95,2307.88,2327.63,629152,HINDUNILVR.NS
2024-02-29,2330.95,2334.6,2304.28,2318.74,2848084,HINDUNILVR.NS
2024-03-01,2323.21,2344.22,2310.76,2316.24,2326244,HINDUNILVR.NS
2024-03-04,2322.49,2333.74,2311.15,2328.07,1501261,HINDUNILVR.NS
2024-03-05,2311.73,2326.14,2298.37,2306.78,1587199,HINDUNILVR.NS
2024-03-06,2310.77,2315.43,2283.18,2307.69,1354111,HINDUNILVR.NS
2024-03-07,2311.68,2331.91,2309.8,2325.71,1820704,HINDUNILVR.NS
2024-03-11,2315.57,2319.42,2291.11,2297.16,2040761,HINDUNILVR.NS
2024-03-12,2287.7,2292.5,2269.24,2285.92,1012157,HINDUNILVR.NS
2024-03-13,2282.89,2282.89,2214.5,2222.91,2322669,HINDUNILVR.NS
2024-03-14,2215.46,2250.88,2212.58,2244.06,2292515,HINDUNILVR.NS
2024-03-15,2239.68,2246.32,2226.08,2237.42,2751403,HINDUNILVR.NS
2024-03-18,2230.79,2234.83,2207.91,2210.75,2487402,HINDUNILVR.NS
2024-03-19,2194.7,2214.55,2159.71,2179.03,4220638,HINDUNILVR.NS
