Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,975.56,988.64,975.02,983.28,7683792,ICICIBANK.NS
2024-01-02,980.92,981.56,964.44,966.41,16263825,ICICIBANK.NS
2024-01-03,968.82,972.07,959.37,968.18,16826752,ICICIBANK.NS
2024-01-04,970.49,973.2,966.06,971.23,22789140,ICICIBANK.NS
2024-01-05,972.07,982.2,967.93,977.67,14875499,ICICIBANK.NS
2024-01-08,977.97,982.1,964.49,966.16,8393164,ICICIBANK.NS
2024-01-09,970.34,978.95,959.67,963.95,14660414,ICICIBANK.NS
2024-01-10,958.59,978.9,958.59,977.04,9409181,ICICIBANK.NS
2024-01-11,979.25,982.4,970.94,975.17,6451345,ICICIBANK.NS
2024-01-12,978.76,992.43,975.76,987.32,12255743,ICICIBANK.NS
2024-01-15,987.32,995.34,983.14,993.56,12388044,ICICIBANK.NS
2024-01-16,989.87,999.42,988.4,992.78,11505126,ICICIBANK.NS
2024-01-17,971.97,991.55,961.0,965.92,41914771,ICICIBANK.NS
2024-01-18,958.24,978.26,954.5,970.44,17902484,ICICIBANK.NS
2024-01-19,975.31,994.6,971.62,983.09,23271148,ICICIBANK.NS
2024-01-23,1042.02,1042.32,1004.73,1012.45,50797448,ICICIBANK.NS
2024-01-24,1012.85,1019.24,980.58,983.09,34578943,ICICIBANK.NS
2024-01-25,982.3,998.73,972.21,993.66,28315035,ICICIBANK.NS
2024-01-29,1003.55,1015.36,993.71,1000.01,14078922,ICICIBANK.NS
2024-01-30,998.58,1007.34,991.74,1000.5,16085742,ICICIBANK.NS
2024-01-31,1000.4,1022.24,987.07,1011.57,25627447,ICICIBANK.NS
2024-02-01,1017.28,1017.28,1000.99,1008.62,13058880,ICICIBANK.NS
2024-02-02,1020.37,1033.07,1005.17,1007.49,14774650,ICICIBANK.NS
2024-02-05,1006.01,1009.9,995.78,1006.99,12948430,ICICIBANK.NS
2024-02-06,1007.04,1018.21,1000.3,1009.85,12886927,ICICIBANK.NS
2024-02-07,1011.42,1014.91,996.66,1005.67,16410895,ICICIBANK.NS
2024-02-08,1007.58,1011.67,969.36,973.35,20565502,ICICIBANK.NS
2024-02-09,972.9,997.4,969.61,994.4,12799837,ICICIBANK.NS
2024-02-12,994.11,995.88,969.36,980.04,8050066,ICICIBANK.NS
2024-02-13,989.78,1010.49,984.17,1003.35,18706292,ICICIBANK.NS
2024-02-14,993.27,1019.0,991.3,1006.21,17878720,ICICIBANK.NS
2024-02-15,1006.35,1010.09,990.37,1000.25,10069878,ICICIBANK.NS
2024-02-16,1006.7,1009.65,1000.5,1006.75,7159395,ICICIBANK.NS
2024-02-19,1006.85,1029.13,1006.85,1026.92,9388255,ICICIBANK.NS
2024-02-20,1024.26,1035.67,1016.59,1031.84,11293528,ICICIBANK.NS
2024-02-21,1039.76,1046.84,1031.1,1034.99,15946325,ICICIBANK.NS
2024-02-22,1038.97,1048.81,1023.52,1045.56,13432573,ICICIBANK.NS
2024-02-23,1052.74,1052.74,1040.59,1044.18,13142759,ICICIBANK.NS
2024-02-26,1036.12,1045.17,1033.56,1037.2,7875941,ICICIBANK.NS
2024-02-27,1033.8,1049.01,1029.62,1043.1,10580973,ICICIBANK.NS
2024-02-28,1045.86,1047.68,1025.34,1029.33,7730332,ICICIBANK.NS
2024-02-29,1026.23,1043.59,1021.75,1035.23,20944844,ICICIBANK.NS
2024-03-01,1037.99,1072.37,1037.0,1069.37,14909562,ICICIBANK.NS
2024-03-04,1063.57,1077.34,1062.68,1074.73,11424581,ICICIBANK.NS
2024-03-05,1068.68,1081.77,1059.14,1070.5,9222544,ICICIBANK.NS
2024-03-06,1062.88,1095.59,1062.88,1079.41,21796484,ICICIBANK.NS
2024-03-07,1077.29,1077.34,1065.24,1070.4,9963926,ICICIBANK.NS
2024-03-11,1070.4,1070.4,1059.39,1061.3,13310362,ICICIBANK.NS
2024-03-12,1059.68,1077.14,1038.63,1059.48,21785435,ICICIBANK.NS
2024-03-13,1059.78,1072.08,1055.84,1066.47,24855870,ICICIBANK.NS
2024-03-14,1062.58,1079.41,1057.71,1066.12,14231421,ICICIBANK.NS
2024-03-15,1054.71,1068.73,1052.74,1062.93,66192734,ICICIBANK.NS
2024-03-18,1057.71,1067.31,1042.95,1063.76,8769440,ICICIBANK.NS
2024-03-19,1061.06,1071.19,1057.91,1066.47,16708715,ICICIBANK.NS
2024-03-20,1062.58,1072.42,1050.28,1067.01,18725251,ICICIBANK.NS
2024-03-21,1074.39,1082.26,1061.75,1064.35,19992607,ICICIBANK.NS
2024-03-22,1063.71,1076.06,1061.3,1072.72,17214415,ICICIBANK.NS
2024-03-26,1063.57,1071.59,1059.58,1066.22,13367635,ICICIBANK.NS
2024-03-27,1066.22,1074.88,1062.14,1066.27,26907245,ICICIBANK.NS
2024-03-28,1067.5,1087.23,1067.5,1075.67,22070566,ICICIBANK.NS
