Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,1448.95,1465.89,1445.41,1460.57,2808451,INFY.NS
2024-01-02,1455.54,1458.5,1433.88,1444.61,5396313,INFY.NS
2024-01-03,1431.01,1431.01,1400.93,1402.81,7550363,INFY.NS
2024-01-04,1416.89,1430.82,1405.54,1424.18,7056038,INFY.NS
2024-01-05,1418.58,1449.6,1418.11,1442.87,8895403,INFY.NS
2024-01-08,1439.48,1446.12,1424.7,1433.69,4440136,INFY.NS
2024-01-09,1451.68,1462.13,1436.56,1439.81,4412074,INFY.NS
2024-01-10,1435.72,1445.6,1416.93,1430.96,4096845,INFY.NS
2024-01-11,1435.67,1435.76,1399.61,1406.77,11296088,INFY.NS
2024-01-12,1470.6,1523.32,1464.39,1518.38,26754401,INFY.NS
2024-01-15,1548.7,1567.53,1540.27,1555.43,13228305,INFY.NS
2024-01-16,1548.55,1552.04,1529.91,1536.08,6500917,INFY.NS
2024-01-17,1525.44,1551.1,1525.44,1544.22,9209876,INFY.NS
2024-01-18,1546.53,1552.51,1532.97,1546.48,6375464,INFY.NS
2024-01-19,1554.96,1568.04,1547.94,1562.11,4522736,INFY.NS
2024-01-23,1553.54,1576.7,1541.87,1546.06,9401255,INFY.NS
2024-01-24,1562.77,1581.69,1548.74,1577.36,8999681,INFY.NS
2024-01-25,1575.06,1582.21,1560.98,1571.43,8865304,INFY.NS
2024-01-29,1567.71,1581.08,1551.19,1559.66,4253785,INFY.NS
2024-01-30,1565.17,1591.11,1551.8,1554.82,4995943,INFY.NS
2024-01-31,1551.8,1569.69,1542.25,1563.71,6763779,INFY.NS
2024-02-01,1562.44,1578.87,1553.78,1560.09,5760011,INFY.NS
2024-02-02,1568.56,1617.94,1567.57,1594.26,7858483,INFY.NS
2024-02-05,1595.58,1601.23,1583.44,1588.47,3634135,INFY.NS
2024-02-06,1588.05,1631.59,1576.0,1628.25,7694265,INFY.NS
2024-02-07,1627.83,1627.83,1588.14,1594.64,4613877,INFY.NS
2024-02-08,1598.64,1606.5,1584.33,1593.09,5919715,INFY.NS
2024-02-09,1586.12,1593.84,1562.68,1571.67,4600004,INFY.NS
2024-02-12,1572.61,1593.89,1572.61,1581.79,3555808,INFY.NS
2024-02-13,1584.52,1590.26,1566.16,1585.98,2696481,INFY.NS
2024-02-14,1563.05,1571.76,1539.8,1568.7,3768579,INFY.NS
2024-02-15,1578.87,1588.99,1564.37,1578.26,4834391,INFY.NS
2024-02-16,1590.17,1609.0,1589.18,1602.08,4880654,INFY.NS
2024-02-19,1605.23,1611.35,1588.94,1600.29,3690993,INFY.NS
2024-02-20,1586.4,1595.11,1571.1,1586.64,3706389,INFY.NS
2024-02-21,1576.05,1576.05,1549.03,1558.68,4300508,INFY.NS
2024-02-22,1567.57,1586.03,1548.18,1582.97,5841277,INFY.NS
2024-02-23,1597.7,1599.06,1574.07,1578.73,5373072,INFY.NS
2024-02-26,1576.94,1576.94,1548.74,1563.01,2782438,INFY.NS
2024-02-27,1563.81,1573.32,1556.09,1566.25,5159088,INFY.NS
2024-02-28,1572.28,1589.04,1564.8,1573.46,3188916,INFY.NS
2024-02-29,1567.57,1583.81,1556.56,1575.95,7814722,INFY.NS
2024-03-01,1571.34,1574.12,1554.39,1557.87,6387291,INFY.NS
2024-03-04,1560.84,1567.05,1538.06,1541.4,4445156,INFY.NS
2024-03-05,1538.39,1541.54,1508.26,1512.5,4596579,INFY.NS
2024-03-06,1509.01,1525.35,1483.78,1522.9,6420684,INFY.NS
2024-03-07,1522.0,1533.16,1510.33,1521.86,6348359,INFY.NS
2024-03-11,1514.05,1519.37,1495.08,1506.94,6752895,INFY.NS
2024-03-12,1506.38,1529.91,1504.16,1518.57,4614222,INFY.NS
2024-03-13,1518.52,1529.44,1505.01,1517.11,5688997,INFY.NS
2024-03-14,1519.93,1560.75,1513.91,1556.56,8803799,INFY.NS
2024-03-15,1545.07,1549.5,1523.65,1538.39,11809997,INFY.NS
2024-03-18,1534.62,1537.12,1505.29,1508.87,4958904,INFY.NS
2024-03-19,1499.17,1505.43,1466.83,1470.08,6870411,INFY.NS
2024-03-20,1471.54,1482.79,1461.51,1463.96,4759059,INFY.NS
2024-03-21,1472.48,1484.67,1453.09,1463.73,11062497,INFY.NS
2024-03-22,1432.0,1439.44,1410.53,1420.56,14673890,INFY.NS
2024-03-26,1404.7,1419.24,1400.84,1405.31,8351081,INFY.NS
2024-03-27,1408.46,1411.29,1394.86,1397.02,6857402,INFY.NS
2024-03-28,1400.13,1423.34,1400.13,1410.39,12499530,INFY.NS
2024-04-01,1435.76,1440.42,1405.45,1407.94,6580002,INFY.NS
2024-04-02,1397.96,1405.78,1394.2,1396.08,7279400,INFY.NS
2024-04-03,1392.46,1407.61,1388.69,1394.01,8736248,INFY.NS
2024-04-04,1403.33,1408.13,1382.1,1399.71,11186915,INFY.NS
2024-04-05,1393.44,1399.71,1389.68,1392.55,5072482,INFY.NS
2024-04-08,1396.22,1403.71,1387.84,1390.29,6610887,INFY.NS
2024-04-09,1402.81,1425.22,1400.27,1407.38,9423230,INFY.NS
2024-04-10,1412.56,1421.5,1397.68,1418.63,6744595,INFY.NS
2024-04-12,1415.99,1418.63,1392.93,1397.87,12275616,INFY.NS
2024-04-15,1393.4,1404.65,1375.56,1382.24,8531224,INFY.NS
2024-04-16,1366.09,1370.0,1330.37,1331.68,16173541,INFY.NS
2024-04-18,1337.94,1360.16,1325.14,1336.2,22107945,INFY.NS
2024-04-19,1303.96,1343.36,1298.07,1328.67,20603621,INFY.NS
2024-04-22,1336.81,1352.77,1330.37,1348.91,5859087,INFY.NS
2024-04-23,1358.56,1362.19,1349.15,1358.0,4856174,INFY.NS
2024-04-24,1359.79,1359.79,1343.55,1347.03,4268213,INFY.NS
2024-04-25,1336.91,1360.35,1336.91,1354.28,9089398,INFY.NS
2024-04-26,1355.46,1360.82,1343.5,1346.56,8062444,INFY.NS
2024-04-29,1346.28,1355.55,1344.68,1350.8,5055957,INFY.NS
