Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,408.69,414.37,407.94,412.7,9706230,ITC.NS
2024-01-02,414.42,415.61,408.77,414.73,10924918,ITC.NS
2024-01-03,414.64,423.85,413.84,420.81,24961710,ITC.NS
2024-01-04,423.23,424.51,418.12,420.06,12240910,ITC.NS
2024-01-05,422.71,422.71,416.18,417.9,9564086,ITC.NS
2024-01-08,418.83,419.27,409.61,410.45,8311403,ITC.NS
2024-01-09,412.21,414.37,408.82,409.61,5916180,ITC.NS
2024-01-10,409.61,411.55,405.64,408.51,6123200,ITC.NS
2024-01-11,409.21,411.37,406.57,407.94,6786448,ITC.NS
2024-01-12,408.47,412.39,405.91,411.51,9714589,ITC.NS
2024-01-15,414.42,414.86,410.98,412.3,7167978,ITC.NS
2024-01-16,412.48,418.83,409.35,416.45,12531058,ITC.NS
2024-01-17,415.65,420.59,410.18,411.42,11536527,ITC.NS
2024-01-18,410.23,412.52,400.79,410.45,9495938,ITC.NS
2024-01-19,413.14,417.06,411.24,415.74,12673308,ITC.NS
2024-01-23,417.72,417.72,402.43,404.98,8728196,ITC.NS
2024-01-24,405.69,412.12,403.92,408.77,22459072,ITC.NS
2024-01-25,408.73,409.96,398.63,401.76,20435547,ITC.NS
2024-01-29,401.98,403.17,394.58,396.61,18557346,ITC.NS
2024-01-30,394.14,400.04,385.67,386.25,45190319,ITC.NS
2024-01-31,387.96,390.17,386.82,389.33,20648695,ITC.NS
2024-02-01,389.73,394.8,387.35,390.52,19903526,ITC.NS
2024-02-02,392.37,394.31,387.52,388.05,17816750,ITC.NS
2024-02-05,389.73,391.18,384.92,386.25,12505666,ITC.NS
2024-02-06,387.96,388.76,378.71,380.38,19487043,ITC.NS
2024-02-07,383.56,383.56,379.85,380.73,13376903,ITC.NS
2024-02-08,384.04,384.13,365.78,371.1,50039587,ITC.NS
2024-02-09,367.12,379.74,365.78,371.95,33527317,ITC.NS
2024-02-12,373.79,374.19,363.49,364.21,11326971,ITC.NS
2024-02-13,364.25,367.75,361.03,364.12,16207766,ITC.NS
