Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,1280.8,1293.85,1277.12,1285.61,4030540,RELIANCE.NS
2024-01-02,1283.0,1297.89,1277.05,1296.26,7448800,RELIANCE.NS
2024-01-03,1295.41,1307.32,1279.13,1282.16,9037536,RELIANCE.NS
2024-01-04,1284.49,1295.34,1280.08,1288.79,9612778,RELIANCE.NS
2024-01-05,1291.89,1300.3,1289.46,1294.27,8086406,RELIANCE.NS
2024-01-08,1295.41,1306.31,1275.04,1284.17,7734652,RELIANCE.NS
2024-01-09,1290.45,1293.82,1279.13,1280.77,5403074,RELIANCE.NS
2024-01-10,1279.03,1319.73,1278.07,1315.31,11102740,RELIANCE.NS
2024-01-11,1319.73,1352.49,1318.74,1349.91,23725852,RELIANCE.NS
2024-01-12,1349.91,1363.24,1335.86,1360.65,15012164,RELIANCE.NS
2024-01-15,1364.9,1386.19,1355.96,1383.88,8610594,RELIANCE.NS
2024-01-16,1379.76,1386.04,1360.43,1364.53,9069024,RELIANCE.NS
2024-01-17,1349.51,1376.09,1345.07,1351.57,12197382,RELIANCE.NS
2024-01-18,1341.47,1360.93,1341.32,1357.9,10279438,RELIANCE.NS
2024-01-19,1365.89,1365.89,1349.02,1357.4,10422704,RELIANCE.NS
2024-01-23,1361.67,1361.67,1312.83,1318.81,20055420,RELIANCE.NS
2024-01-24,1325.41,1339.59,1314.2,1334.0,21919128,RELIANCE.NS
2024-01-25,1333.08,1354.13,1325.39,1343.13,11808872,RELIANCE.NS
2024-01-29,1354.47,1441.83,1350.18,1437.41,23893438,RELIANCE.NS
2024-01-30,1449.22,1449.25,1394.11,1397.28,14093978,RELIANCE.NS
2024-01-31,1393.68,1423.71,1392.2,1416.14,15130226,RELIANCE.NS
2024-02-01,1424.46,1432.75,1407.63,1416.17,13349362,RELIANCE.NS
2024-02-02,1422.65,1464.06,1422.65,1446.99,19652588,RELIANCE.NS
2024-02-05,1450.02,1459.7,1421.01,1428.45,8814432,RELIANCE.NS
2024-02-06,1431.26,1431.26,1409.39,1417.31,9047984,RELIANCE.NS
2024-02-07,1425.38,1438.85,1418.75,1431.55,9296568,RELIANCE.NS
2024-02-08,1439.35,1448.75,1417.04,1439.47,14694634,RELIANCE.NS
2024-02-09,1443.32,1461.16,1440.29,1450.02,12556798,RELIANCE.NS
2024-02-12,1450.02,1450.27,1431.75,1441.68,6674430,RELIANCE.NS
2024-02-13,1444.81,1468.13,1443.32,1454.34,7715594,RELIANCE.NS
2024-02-14,1446.79,1472.75,1446.79,1470.49,7117888,RELIANCE.NS
2024-02-15,1472.45,1473.82,1455.75,1459.8,10006782,RELIANCE.NS
2024-02-16,1465.63,1466.15,1447.83,1449.84,9767498,RELIANCE.NS
2024-02-19,1451.31,1468.63,1442.85,1463.17,6729828,RELIANCE.NS
2024-02-20,1464.19,1464.66,1451.06,1460.22,7117496,RELIANCE.NS
2024-02-21,1463.17,1477.59,1446.84,1456.92,12720292,RELIANCE.NS
2024-02-22,1457.36,1474.04,1447.29,1470.86,18493728,RELIANCE.NS
2024-02-23,1478.56,1486.55,1472.45,1482.65,14438584,RELIANCE.NS
2024-02-26,1482.58,1483.54,1471.61,1476.4,7513106,RELIANCE.NS
2024-02-27,1472.13,1488.93,1467.19,1474.73,10826044,RELIANCE.NS
2024-02-28,1472.1,1480.32,1439.52,1444.93,8647950,RELIANCE.NS
2024-02-29,1454.24,1468.11,1443.84,1450.07,23628976,RELIANCE.NS
2024-03-01,1452.75,1488.98,1451.75,1481.16,12132926,RELIANCE.NS
2024-03-04,1479.52,1501.34,1476.3,1496.33,10024420,RELIANCE.NS
2024-03-05,1494.71,1496.33,1475.13,1489.18,7107668,RELIANCE.NS
2024-03-06,1482.48,1497.91,1467.64,1491.96,7805676,RELIANCE.NS
2024-03-07,1491.93,1492.06,1464.71,1468.06,8315726,RELIANCE.NS
2024-03-11,1478.06,1478.06,1452.75,1455.82,11277130,RELIANCE.NS
2024-03-12,1455.82,1477.07,1454.26,1464.58,9432678,RELIANCE.NS
2024-03-13,1468.9,1472.2,1417.29,1421.65,13522134,RELIANCE.NS
2024-03-14,1429.12,1437.88,1415.03,1420.96,18571102,RELIANCE.NS
2024-03-15,1415.47,1422.69,1402.52,1407.81,19223818,RELIANCE.NS
2024-03-18,1409.57,1431.13,1406.12,1428.9,9169392,RELIANCE.NS
2024-03-19,1418.25,1427.04,1406.84,1414.78,8275764,RELIANCE.NS
2024-03-20,1417.46,1434.38,1413.56,1433.14,8488806,RELIANCE.NS
2024-03-21,1441.85,1447.19,1434.06,1440.31,13006936,RELIANCE.NS
2024-03-22,1439.32,1449.27,1436.72,1444.33,19527608,RELIANCE.NS
2024-03-26,1434.38,1441.73,1428.43,1430.98,11415906,RELIANCE.NS
2024-03-27,1437.36,1488.98,1436.37,1481.88,16326644,RELIANCE.NS
2024-03-28,1481.91,1494.89,1467.79,1474.93,21854364,RELIANCE.NS
2024-04-01,1481.51,1483.0,1471.61,1473.87,5013880,RELIANCE.NS
2024-04-02,1473.1,1483.02,1464.16,1476.03,8910166,RELIANCE.NS
2024-04-03,1471.19,1473.54,1458.11,1460.79,7008292,RELIANCE.NS
2024-04-04,1468.88,1468.88,1439.35,1452.18,14490272,RELIANCE.NS
2024-04-05,1450.14,1459.99,1445.3,1449.37,7442298,RELIANCE.NS
2024-04-08,1452.23,1480.02,1450.27,1475.06,8357118,RELIANCE.NS
2024-04-09,1478.06,1478.85,1451.75,1452.9,7071414,RELIANCE.NS
2024-04-10,1455.58,1476.07,1455.58,1468.7,9138330,RELIANCE.NS
2024-04-12,1465.03,1475.55,1452.33,1456.37,15551012,RELIANCE.NS
2024-04-15,1450.27,1471.24,1435.7,1454.06,12902062,RELIANCE.NS
2024-04-16,1442.67,1460.37,1440.26,1454.98,9366184,RELIANCE.NS
