Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,619.18,623.71,615.13,618.36,8295548,SBIN.NS
2024-01-02,618.36,624.77,611.12,616.52,15164482,SBIN.NS
2024-01-03,616.43,624.77,613.0,620.38,14571772,SBIN.NS
2024-01-04,619.46,623.22,615.75,619.71,13883388,SBIN.NS
2024-01-05,621.87,628.38,614.88,618.93,15984585,SBIN.NS
2024-01-08,617.05,621.87,602.64,604.52,14739531,SBIN.NS
2024-01-09,609.34,611.61,602.11,602.98,13400235,SBIN.NS
2024-01-10,602.4,602.88,596.04,599.46,12742464,SBIN.NS
2024-01-11,603.56,604.67,596.33,597.96,15533860,SBIN.NS
2024-01-12,601.44,613.68,598.83,610.88,16620797,SBIN.NS
2024-01-15,615.99,622.36,613.29,617.15,16844018,SBIN.NS
2024-01-16,617.05,621.78,610.74,614.07,15025543,SBIN.NS
2024-01-17,601.63,613.97,600.66,603.56,30016308,SBIN.NS
2024-01-18,603.36,610.74,596.86,605.77,14695436,SBIN.NS
2024-01-19,610.31,612.72,602.3,605.24,11675202,SBIN.NS
2024-01-23,604.52,612.14,579.12,583.41,30954343,SBIN.NS
2024-01-24,588.08,600.04,581.48,596.13,19221835,SBIN.NS
2024-01-25,596.33,601.44,584.51,590.78,22684904,SBIN.NS
2024-01-29,596.81,606.93,593.53,600.62,19572140,SBIN.NS
2024-01-30,603.03,610.79,601.82,604.28,16966577,SBIN.NS
2024-01-31,603.94,620.14,599.7,617.54,23270745,SBIN.NS
2024-02-01,619.71,629.54,610.55,624.43,26587707,SBIN.NS
2024-02-02,628.62,636.87,623.51,626.36,27471811,SBIN.NS
2024-02-05,623.9,631.32,615.85,619.9,28339525,SBIN.NS
2024-02-06,621.34,631.52,614.84,626.94,14079390,SBIN.NS
2024-02-07,631.56,653.64,631.52,651.04,41696232,SBIN.NS
2024-02-08,656.01,693.13,654.17,674.47,74222434,SBIN.NS
2024-02-09,678.42,702.24,669.31,699.25,43235061,SBIN.NS
2024-02-12,699.97,699.97,679.24,682.52,22873137,SBIN.NS
2024-02-13,683.15,692.26,676.98,687.87,23351472,SBIN.NS
2024-02-14,680.25,721.66,680.25,716.75,36782182,SBIN.NS
2024-02-15,720.89,736.61,715.06,734.39,33941282,SBIN.NS
2024-02-16,736.08,746.83,726.34,727.64,27365121,SBIN.NS
2024-02-19,731.5,737.57,723.11,732.03,13979584,SBIN.NS
2024-02-20,731.84,736.13,726.97,732.85,12528399,SBIN.NS
2024-02-21,733.38,749.62,732.37,743.84,21465311,SBIN.NS
2024-02-22,745.29,745.29,729.86,738.44,18799244,SBIN.NS
2024-02-23,738.44,742.88,727.93,731.84,14143636,SBIN.NS
2024-02-26,727.93,738.87,725.71,731.69,11355186,SBIN.NS
2024-02-27,731.69,735.02,715.59,722.97,13969393,SBIN.NS
2024-02-28,722.97,729.62,714.43,715.88,11263318,SBIN.NS
2024-02-29,717.23,726.87,710.72,721.28,19217113,SBIN.NS
2024-03-01,725.04,744.32,724.99,741.57,17348526,SBIN.NS
2024-03-04,746.64,749.14,741.43,744.37,9789141,SBIN.NS
2024-03-05,741.91,758.74,741.53,755.84,18088847,SBIN.NS
2024-03-06,755.55,761.97,745.19,755.8,26710525,SBIN.NS
2024-03-07,761.68,764.95,754.93,759.8,15497868,SBIN.NS
2024-03-11,761.68,764.38,742.92,745.96,16778340,SBIN.NS
2024-03-12,742.39,749.87,730.2,732.46,21529705,SBIN.NS
2024-03-13,731.45,736.32,716.36,720.46,27950252,SBIN.NS
2024-03-14,723.01,723.88,707.73,714.48,19730882,SBIN.NS
2024-03-15,712.75,719.78,697.08,705.66,29792241,SBIN.NS
2024-03-18,701.03,711.44,696.21,704.74,18145126,SBIN.NS
2024-03-19,703.83,708.02,695.29,697.85,15205043,SBIN.NS
2024-03-20,699.15,712.46,693.99,709.85,25405455,SBIN.NS
2024-03-21,715.4,723.69,714.0,717.61,15161161,SBIN.NS
2024-03-22,717.18,721.95,714.82,719.93,15535921,SBIN.NS
2024-03-26,716.41,721.04,712.02,713.52,14678342,SBIN.NS
2024-03-27,716.36,719.11,704.02,707.01,30088789,SBIN.NS
2024-03-28,711.3,732.32,710.48,725.38,21705116,SBIN.NS
2024-04-01,731.84,734.2,725.14,731.11,9949971,SBIN.NS
2024-04-02,731.02,741.19,726.34,738.92,15713063,SBIN.NS
2024-04-03,737.48,744.9,732.9,743.41,19136981,SBIN.NS
2024-04-04,747.21,747.5,730.92,732.08,15889530,SBIN.NS
2024-04-05,730.78,740.18,725.62,737.33,9939620,SBIN.NS
2024-04-08,738.59,742.39,734.49,740.75,9797174,SBIN.NS
2024-04-09,740.9,744.76,733.81,736.8,7465892,SBIN.NS
2024-04-10,739.02,752.71,736.27,751.12,14530669,SBIN.NS
2024-04-12,749.38,751.55,737.38,738.83,14408722,SBIN.NS
2024-04-15,732.56,735.93,721.91,730.34,11356572,SBIN.NS
2024-04-16,724.32,727.83,717.71,724.75,13338991,SBIN.NS
2024-04-18,725.09,732.7,715.4,718.1,14589648,SBIN.NS
2024-04-19,708.17,725.04,705.8,723.54,10886554,SBIN.NS
2024-04-22,727.11,741.43,723.54,738.63,17452186,SBIN.NS
2024-04-23,742.73,749.82,738.1,745.29,12292429,SBIN.NS
2024-04-24,750.59,750.59,742.59,745.38,7842615,SBIN.NS
2024-04-25,743.02,785.2,742.06,783.56,36732974,SBIN.NS
2024-04-26,786.65,787.61,770.26,772.57,14964358,SBIN.NS
2024-04-29,778.07,801.45,770.06,796.87,27302732,SBIN.NS
2024-04-30,796.87,804.92,790.5,796.63,27449073,SBIN.NS
2024-05-02,797.25,804.0,795.42,800.29,19943724,SBIN.NS
2024-05-03,804.87,806.22,790.6,801.64,22667634,SBIN.NS
2024-05-06,805.06,806.03,774.21,778.84,35283557,SBIN.NS
2024-05-07,782.89,785.44,764.76,773.15,16725013,SBIN.NS
2024-05-08,773.82,792.53,770.84,781.73,27908322,SBIN.NS
2024-05-09,782.79,809.55,774.74,790.41,49290254,SBIN.NS
2024-05-10,797.35,802.22,786.36,788.05,20543142,SBIN.NS
2024-05-13,790.46,790.46,769.97,779.8,15398505,SBIN.NS
2024-05-14,783.85,792.91,778.93,788.87,10912462,SBIN.NS
2024-05-15,791.56,795.71,788.72,790.89,9755062,SBIN.NS
2024-05-16,795.71,796.53,768.76,782.84,20536990,SBIN.NS
2024-05-17,785.3,792.96,782.12,788.53,12492509,SBIN.NS
2024-05-21,791.56,806.32,790.22,800.87,14037801,SBIN.NS
2024-05-22,810.28,810.38,797.54,802.63,19239277,SBIN.NS
2024-05-23,808.47,819.05,805.82,815.72,17497488,SBIN.NS
2024-05-24,813.66,824.69,810.72,812.29,12252075,SBIN.NS
2024-05-27,816.21,822.88,806.8,817.29,12295193,SBIN.NS
2024-05-28,819.25,824.15,807.09,814.79,13818893,SBIN.NS
2024-05-29,812.09,818.02,803.17,806.46,14518232,SBIN.NS
2024-05-30,805.23,819.54,803.17,809.59,17818705,SBIN.NS
2024-05-31,814.35,818.56,801.02,814.01,22267336,SBIN.NS
2024-06-03,846.55,894.05,839.89,887.82,64269020,SBIN.NS
2024-06-04,879.34,879.34,717.54,759.94,122381193,SBIN.NS
2024-06-05,775.18,779.35,729.4,774.2,74256082,SBIN.NS
2024-06-06,784.25,816.95,780.33,800.87,40555649,SBIN.NS
2024-06-07,803.76,815.13,794.55,813.61,25061284,SBIN.NS
2024-06-10,817.73,828.81,812.88,815.43,16725508,SBIN.NS
2024-06-11,819.54,823.07,812.73,819.1,14754408,SBIN.NS
2024-06-12,820.52,828.91,816.6,822.58,15071442,SBIN.NS
2024-06-13,828.37,829.25,819.64,827.29,12523972,SBIN.NS
2024-06-14,828.37,833.17,818.66,822.68,12903496,SBIN.NS
