Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,221.22,226.13,219.03,223.16,20347278,WIPRO.NS
2024-01-02,223.56,223.56,217.15,219.45,14282514,WIPRO.NS
2024-01-03,216.97,216.97,212.8,213.23,19534364,WIPRO.NS
2024-01-04,213.74,215.07,211.12,211.59,15170336,WIPRO.NS
2024-01-05,212.83,216.55,212.1,213.55,16889130,WIPRO.NS
2024-01-08,213.97,215.14,210.02,210.63,10082886,WIPRO.NS
2024-01-09,214.21,216.31,210.44,210.82,14465048,WIPRO.NS
2024-01-10,211.14,213.27,210.0,212.15,8874676,WIPRO.NS
2024-01-11,212.78,213.69,208.92,209.62,8638818,WIPRO.NS
2024-01-12,212.8,219.35,212.8,217.69,36086734,WIPRO.NS
2024-01-15,239.44,247.41,228.78,231.33,127844264,WIPRO.NS
2024-01-16,231.51,231.51,224.73,226.84,25912492,WIPRO.NS
2024-01-17,222.23,229.88,220.76,225.62,28668932,WIPRO.NS
2024-01-18,225.62,228.71,219.07,225.74,26144924,WIPRO.NS
2024-01-19,228.24,230.74,226.18,226.86,15498620,WIPRO.NS
2024-01-23,223.59,227.3,218.44,219.77,19972336,WIPRO.NS
2024-01-24,220.76,224.51,219.38,224.06,11708750,WIPRO.NS
2024-01-25,224.06,224.67,219.61,220.29,12852980,WIPRO.NS
2024-01-29,220.29,223.57,220.29,221.7,10051300,WIPRO.NS
2024-01-30,222.35,226.34,220.99,221.46,11828014,WIPRO.NS
2024-01-31,221.46,224.93,219.82,224.11,10584480,WIPRO.NS
2024-02-01,223.83,223.9,220.57,220.92,7828120,WIPRO.NS
2024-02-02,222.63,228.02,222.63,226.45,16296222,WIPRO.NS
2024-02-05,226.38,229.43,224.58,226.08,11566604,WIPRO.NS
2024-02-06,227.18,235.19,226.43,234.19,29024038,WIPRO.NS
2024-02-07,234.8,235.15,230.86,232.1,9103534,WIPRO.NS
2024-02-08,232.43,234.4,227.37,229.12,11303840,WIPRO.NS
2024-02-09,230.08,231.89,226.27,229.87,7893788,WIPRO.NS
2024-02-12,230.13,239.41,230.13,235.03,48873500,WIPRO.NS
2024-02-13,235.8,240.44,230.46,239.79,22373576,WIPRO.NS
2024-02-14,236.2,242.32,232.97,241.15,22594656,WIPRO.NS
2024-02-15,242.29,245.06,240.47,243.02,14570776,WIPRO.NS
2024-02-16,244.9,255.44,244.17,254.5,34942644,WIPRO.NS
2024-02-19,255.86,255.86,249.04,251.2,18602758,WIPRO.NS
2024-02-20,251.13,252.23,246.65,249.33,10374126,WIPRO.NS
2024-02-21,251.18,251.36,243.49,244.38,13115574,WIPRO.NS
2024-02-22,245.04,249.82,244.4,248.9,14596482,WIPRO.NS
2024-02-23,250.75,253.68,249.96,251.29,19860994,WIPRO.NS
2024-02-26,251.34,251.46,246.56,249.77,8820636,WIPRO.NS
2024-02-27,250.29,251.88,247.26,249.09,10399260,WIPRO.NS
2024-02-28,248.41,248.86,241.38,242.65,12789056,WIPRO.NS
2024-02-29,242.46,245.72,240.54,243.07,14462764,WIPRO.NS
2024-03-01,244.85,246.16,242.58,243.3,9420630,WIPRO.NS
2024-03-04,245.11,246.72,243.04,243.96,5662370,WIPRO.NS
2024-03-05,242.67,243.96,239.34,240.58,10521548,WIPRO.NS
2024-03-06,240.77,241.31,234.35,240.51,11091922,WIPRO.NS
2024-03-07,240.79,243.91,239.27,241.62,9707982,WIPRO.NS
2024-03-11,242.51,243.23,240.12,241.17,11131512,WIPRO.NS
2024-03-12,240.33,244.9,237.98,239.44,11652760,WIPRO.NS
2024-03-13,240.82,243.11,232.85,236.41,13580480,WIPRO.NS
2024-03-14,234.89,243.21,232.08,242.76,12825472,WIPRO.NS
2024-03-15,241.26,242.9,237.35,242.32,13649086,WIPRO.NS
2024-03-18,242.79,243.04,238.57,239.13,6393960,WIPRO.NS
2024-03-19,238.57,238.57,231.14,231.94,9617386,WIPRO.NS
2024-03-20,232.5,234.94,229.29,231.3,8385344,WIPRO.NS
2024-03-21,234.19,236.83,233.62,234.56,11644580,WIPRO.NS
2024-03-22,229.31,230.01,224.77,228.3,28646502,WIPRO.NS
2024-03-26,227.79,230.11,224.53,224.91,18273346,WIPRO.NS
2024-03-27,224.84,225.42,220.88,221.37,14320668,WIPRO.NS
2024-03-28,223.43,226.41,222.77,225.02,15455150,WIPRO.NS
2024-04-01,226.71,227.98,225.7,227.3,6041008,WIPRO.NS
2024-04-02,225.89,226.24,224.79,225.54,6932654,WIPRO.NS
